,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
22,Samvedana Physiotherapy & Rehabilitation Centre @ Samvedana Hospital,"Sector 48, Noida",1,100.0,https://www.practo.com/noida/hospital/samvedana-hospital-noida-sector-48
23,Life Care Hospital,"Sector 61, Noida",11,50.0,https://www.practo.com/noida/hospital/life-care-hospital-23-sector-61
24,Tripathi Hospital,"Sector 119, Noida",8,50.0,https://www.practo.com/noida/hospital/tripathi-hospital
25,IndoGulf Hospital & Diagnostics,"Sector 19, Noida",42,50.0,https://www.practo.com/noida/hospital/indogulf-hospital-diagnostics-noida-sector-19
26,Jaypee Hospital,"Sector 128, Noida",12,1200.0,https://www.practo.com/noida/hospital/jaypee-hospital-8-sector-128
27,SJM Super Speciality Hospital,"Sector 63, Noida",11,125.0,https://www.practo.com/noida/hospital/sjm-super-speciality-hospital-sector-63
28,Prayag Hospital,"Sector 41, Noida",3,35.0,https://www.practo.com/noida/hospital/prayag-hospital-noida-sector-41
29,Prakash Hospital ,"Sector 33, Noida",1,,https://www.practo.com/noida/hospital/prakash-hospital-noida-sector-33-1
30, Prakash Hospital,"Sector 33, Noida",11,120.0,https://www.practo.com/noida/hospital/prakash-hospital-noida-sector-33
31,MITR Hospitals,"Sector 35, Noida",23,100.0,https://www.practo.com/noida/hospital/mitr-hospital-noida-sector-35-1-1
32,Metro Hospitals & Heart Institute,"Sector 12, Noida",6,110.0,https://www.practo.com/noida/hospital/metro-hospitals-heart-institute-cardiology-wing-sector-12
33,Satya Medical Centre,"Sector 34, Noida",2,50.0,https://www.practo.com/noida/hospital/satya-medical-centre-noida-sector-34
34,Felix Hospital,"Sector 137, Noida",23,150.0,https://www.practo.com/noida/hospital/felix-hospital-nh-01-sector-137-noida-greater-noida-expressway
35,Vinayak Hospital,"Sector 27, Noida",2,50.0,https://www.practo.com/noida/hospital/vinayak-hospital-3
36,Sharma Medicare Hospital,"Greater Noida, Noida",2,120.0,https://www.practo.com/noida/hospital/sharma-medicare-hospital-greater-noida
37,Ivory Hospital,"Sector 36, Noida",6,,https://www.practo.com/noida/hospital/ivory-hospital-1
38,Manas Hospital,"Sector 34, Noida",1,82.0,https://www.practo.com/noida/hospital/manas-hospital-sector-34-noida
39,Dipakshi Multispeciality Hospital,"Sector 33, Noida",9,100.0,https://www.practo.com/noida/hospital/dipakshi-nursing-and-maternity-home-private-limited-noida-sector-34
40,New Hospital,"Sector 50, Noida",1,,https://www.practo.com/noida/hospital/new-hospital-noida-sector-50
41,Kumar Hospital,"Greater Noida, Noida",3,30.0,https://www.practo.com/noida/hospital/kumar-hospital-greater-noida
42,Life Care Ortho & Maternity Centre,"Sector 27, Noida",2,,https://www.practo.com/noida/hospital/life-care-ortho-maternity-centre-sector-27-1
43,Vidya Hospital,"Dadri, Noida",1,100.0,https://www.practo.com/noida/hospital/vidya-hospital-2-dadri
44,Santura Hospital,"Greater Noida, Noida",1,20.0,https://www.practo.com/noida/hospital/santura-hospital-greater-noida
45,Bakson's Homoeopathic Centre for Allergy,"Sector 18, Noida",1,,https://www.practo.com/noida/hospital/bakson-s-homoeopathic-centre-for-allergy-sector-18
46,Bakson's Homoeopathic Medical College and Hospital,"Greater Noida, Noida",1,,https://www.practo.com/noida/hospital/bakson-s-homoeopathic-medical-college-and-hospital-greater-noida
47,NMC Hospital,"Sector 30, Noida",1,,https://www.practo.com/noida/hospital/nmc-hospital-sector-30-noida
48,"Kailash Hospital, Greater Noida","Greater Noida, Noida",2,,https://www.practo.com/noida/hospital/kailash-hospital-greater-noida-greater-noida
49,Om Hospital,"Noida, Noida",1,,https://www.practo.com/noida/hospital/om-hospital-noida
